est_id,est_university_id,est_carrera,est_ciclo,est_gpa,est_is_gpa_verified,est_evidence_url,est_hours_available,est_availability,pub_university_id,pub_category,pub_max_hours,pub_schedule,pub_req_json,est_mandatory_match,est_skill_match_ratio,es_apto,est_h_skills,est_s_skills,pub_req_h_skills,pub_req_s_skills,pub_title,pub_description,pub_complexity
d6c802a9-950c-4b51-a609-533eec46d970,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería Electrónica,3,17.43,True,https://supabase.co/storage/v1/object/public/evidence/doc_57f0c861-8d87-49fe-a93f-d2a8657232e8.pdf,20,"{""mon"": ""10111010110111001000110011110111"", ""tue"": ""01011101110011111001110111111101"", ""wed"": ""01100010110010101111010111111101"", ""thu"": ""01111101111110101101001010110110"", ""fri"": ""11110111001111100010111110111110"", ""sat"": ""00110111011110101101011001010011"", ""sun"": ""11101101111101111101011011111011""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Diseño y Creatividad,10,"{""mon"": ""00001010010000100000000000000000"", ""tue"": ""00101000111000001000000001000000"", ""wed"": ""01000000000001010000000000001010"", ""thu"": ""00001000000010000000000010100010"", ""fri"": ""00000000000000010000010010101100"", ""sat"": ""00111000000101000001001100000000"", ""sun"": ""01010000000001010011000000010000""}","[{""skill_id"": ""5e05af78-3ccc-4934-8123-659f431260fd"", ""name"": ""Orientaci\u00f3n a Resultados"", ""min_proficiency"": 1, ""mandatory"": true}, {""skill_id"": ""94626da4-9f1e-4f40-96e5-f6f19c5cf73a"", ""name"": ""Adaptabilidad"", ""min_proficiency"": 3, ""mandatory"": false}]",1,0.75,1,"Cultura Organizacional, Planes de Negocio, Análisis de KPIs, OKRs (Objectives and Key Results), Selección de Talento","Autogestión, Inteligencia Emocional, Orientación a Resultados, Adaptabilidad, Pensamiento Crítico, Resolución de Problemas","Orientación a Resultados, Adaptabilidad",,Proyecto para Administración y Finanzas,Buscamos talento para colaborar en un proyecto relacionado con Administración y Finanzas. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Media
9ff37914-c1b7-4d9c-b8ec-460a41b0c49c,59a91332-e18f-4e68-8061-fe83f4c7610f,Diseño Profesional Gráfico,6,14.53,False,,37,"{""mon"": ""11111011101111011110111100111101"", ""tue"": ""10011100100111100001100110101101"", ""wed"": ""11101111011101111111000101111010"", ""thu"": ""11111111110100011101010101111111"", ""fri"": ""10111110101001111110101011010111"", ""sat"": ""11001101110110001110111011101011"", ""sun"": ""11101111111010101110001110011111""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Humanidades y Educación,20,"{""mon"": ""10000001101010000001000000000001"", ""tue"": ""00000001010000000001000000010110"", ""wed"": ""00000001100000000001000001000001"", ""thu"": ""01011010000000011000011000001011"", ""fri"": ""00000001000000000000010000000000"", ""sat"": ""01000001010000000010010000000000"", ""sun"": ""00000010000100101010010001010000""}","[{""skill_id"": ""30264382-35e8-4919-a0a7-b1421a2b2751"", ""name"": ""An\u00e1lisis de KPIs"", ""min_proficiency"": 2, ""mandatory"": true}, {""skill_id"": ""e77ddcdb-0cf0-44ac-9a04-925a02595462"", ""name"": ""Gesti\u00f3n de Suministros"", ""min_proficiency"": 1, ""mandatory"": false}, {""skill_id"": ""42a52ac8-309e-4fbe-aa3a-44d7541aa63e"", ""name"": ""OKRs (Objectives and Key Results)"", ""min_proficiency"": 2, ""mandatory"": true}]",0,0.0,0,"Relaciones Públicas, Adobe Photoshop, Email Marketing, Figma, Experiencia de Usuario (UX)",,"Análisis de KPIs, Gestión de Suministros, OKRs (Objectives and Key Results)",,Proyecto para Ingeniería Industrial,Buscamos talento para colaborar en un proyecto relacionado con Ingeniería Industrial. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Media
d089f138-24c9-479d-ac30-eec7246a3f7a,59a91332-e18f-4e68-8061-fe83f4c7610f,Farmacia y Bioquímica,6,18.53,False,,27,"{""mon"": ""10010110010011001101110000101001"", ""tue"": ""00011110101101110100111011111110"", ""wed"": ""11111011111100111011101101111110"", ""thu"": ""11110110011101100111100011011101"", ""fri"": ""11101101100100011010110111100101"", ""sat"": ""11110010111100100000111110111111"", ""sun"": ""11110110111110010101111011111111""}",59a91332-e18f-4e68-8061-fe83f4c7610f,IA y Análisis de Datos,20,"{""mon"": ""00000000100000000000010000001010"", ""tue"": ""01010000001001000010000000000001"", ""wed"": ""01101000010011000010000001100001"", ""thu"": ""00000110000101001100000111000100"", ""fri"": ""00001100100000010011000000100010"", ""sat"": ""00011100000000000011011111000000"", ""sun"": ""01001000001110000000010100100000""}","[{""skill_id"": ""e37fee21-02c9-4177-9e05-c50e480fb839"", ""name"": ""Liderazgo"", ""min_proficiency"": 3, ""mandatory"": false}, {""skill_id"": ""6165d966-33ed-4046-b0ca-b9709b46e1e8"", ""name"": ""Gesti\u00f3n de Obras"", ""min_proficiency"": 2, ""mandatory"": true}, {""skill_id"": ""dcaf0207-d691-42b5-b5b2-be1f279f4684"", ""name"": ""Adobe Illustrator"", ""min_proficiency"": 2, ""mandatory"": false}]",0,0.16666666666666666,0,"OKRs (Objectives and Key Results), Análisis de KPIs, Selección de Talento, SAP/ERP, Cultura Organizacional","Pensamiento Crítico, Liderazgo, Inteligencia Emocional, Adaptabilidad, Orientación a Resultados, Resolución de Problemas","Liderazgo, Gestión de Obras, Adobe Illustrator",,Proyecto para Arquitectura,Buscamos talento para colaborar en un proyecto relacionado con Arquitectura. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Baja
3a6a1105-7da5-4fcd-9675-1251649e85cc,59a91332-e18f-4e68-8061-fe83f4c7610f,Gastronomía y Gestión Culinaria,6,18.42,True,https://supabase.co/storage/v1/object/public/evidence/doc_1f7eba75-9dd2-41ce-a0f2-7a24fe5dd397.pdf,34,"{""mon"": ""10111000111111011111000110111101"", ""tue"": ""00101100111111111101111111111101"", ""wed"": ""11111110111100000101110000111011"", ""thu"": ""11111100111101010110111011111011"", ""fri"": ""10111010101111000101111111111101"", ""sat"": ""11011111010111010110100111011001"", ""sun"": ""11111011111100110100011111111000""}",59a91332-e18f-4e68-8061-fe83f4c7610f,IA y Análisis de Datos,30,"{""mon"": ""00001100100000101000000000001111"", ""tue"": ""10010001100000000000000110001011"", ""wed"": ""11000011000000000100110001000000"", ""thu"": ""00000010000000001001101000000010"", ""fri"": ""00101000000010000100100010101000"", ""sat"": ""00000000000000101100100010110000"", ""sun"": ""00100000001001000010000000000000""}","[{""skill_id"": ""5e05af78-3ccc-4934-8123-659f431260fd"", ""name"": ""Orientaci\u00f3n a Resultados"", ""min_proficiency"": 3, ""mandatory"": false}, {""skill_id"": ""5b91025d-6bbd-434d-951a-e9bda25dedcd"", ""name"": ""Tipograf\u00eda"", ""min_proficiency"": 3, ""mandatory"": true}]",0,0.5,0,"Coctelería, Seguridad Alimentaria (HACCP), Cultura Organizacional, Operaciones Hoteleras, Logística de Eventos, Gestión de Suministros, Metodologías Ágiles (Scrum), Jira","Autogestión, Resolución de Problemas, Pensamiento Crítico, Trabajo en Equipo, Orientación a Resultados","Orientación a Resultados, Tipografía",,Proyecto para Diseño Profesional Gráfico,Buscamos talento para colaborar en un proyecto relacionado con Diseño Profesional Gráfico. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Baja
60497022-5c3b-4a67-9021-defb1f98a81d,59a91332-e18f-4e68-8061-fe83f4c7610f,Diseño Industrial,10,18.9,False,,32,"{""mon"": ""11110110110111101111110111010100"", ""tue"": ""00011010110101011110101011101101"", ""wed"": ""10101101111101001011001110101111"", ""thu"": ""11001111111110111111100100011111"", ""fri"": ""01000111101110100011111010111011"", ""sat"": ""11110101101011110011111100110011"", ""sun"": ""10101101011101010011101101101001""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Software y Tecnología,20,"{""mon"": ""00000001000000000000001010000000"", ""tue"": ""01001001100100000110000100000100"", ""wed"": ""00010001001000011000000000000100"", ""thu"": ""01100100000010000000000000000000"", ""fri"": ""10000000000010111000000001001000"", ""sat"": ""01100000000000001001010100000000"", ""sun"": ""00000000001000000011000001000000""}","[{""skill_id"": ""52f5bf51-be7c-4b40-920f-d20c3c07b1b6"", ""name"": ""Trabajo en Equipo"", ""min_proficiency"": 3, ""mandatory"": true}, {""skill_id"": ""81c35e49-69f4-49fb-8944-7c3ca82ad972"", ""name"": ""Resoluci\u00f3n de Problemas"", ""min_proficiency"": 2, ""mandatory"": false}, {""skill_id"": ""5e05af78-3ccc-4934-8123-659f431260fd"", ""name"": ""Orientaci\u00f3n a Resultados"", ""min_proficiency"": 1, ""mandatory"": true}]",0,0.3333333333333333,0,"Negociación Comercial, Análisis de KPIs, Cultura Organizacional, Planes de Negocio, Gestión de Suministros, SAP/ERP, Selección de Talento","Pensamiento Crítico, Liderazgo, Inteligencia Emocional, Adaptabilidad, Orientación a Resultados, Gestión del Tiempo","Trabajo en Equipo, Resolución de Problemas, Orientación a Resultados",,Proyecto para Administración y Negocios Internacionales,Buscamos talento para colaborar en un proyecto relacionado con Administración y Negocios Internacionales. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Media
a649f818-1e54-4200-821b-93aeede3376a,59a91332-e18f-4e68-8061-fe83f4c7610f,Música,4,14.98,False,,23,"{""mon"": ""10011110011011000011011111000011"", ""tue"": ""11110111111111110101111001100001"", ""wed"": ""11011001110101011110011111101011"", ""thu"": ""01011101011100111010001011011101"", ""fri"": ""11011011101101001111101001110111"", ""sat"": ""11101111101001111011111011111011"", ""sun"": ""01010111111011010111111010111111""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Software y Tecnología,10,"{""mon"": ""00000110000000000001000010000000"", ""tue"": ""00000000000010001010000001001001"", ""wed"": ""00000000000001001000000000000000"", ""thu"": ""00110000001010000000000000000000"", ""fri"": ""00010000001000100000010000000000"", ""sat"": ""00011110000000111110000000000000"", ""sun"": ""00010100001000110010001011100010""}","[{""skill_id"": ""52f5bf51-be7c-4b40-920f-d20c3c07b1b6"", ""name"": ""Trabajo en Equipo"", ""min_proficiency"": 3, ""mandatory"": true}, {""skill_id"": ""1c6a4241-f34f-4a49-8728-636b3a5b924c"", ""name"": ""Gesti\u00f3n del Tiempo"", ""min_proficiency"": 3, ""mandatory"": false}]",1,0.5,1,"Metodologías Ágiles (Scrum), SAP/ERP, Cultura Organizacional","Trabajo en Equipo, Orientación a Resultados","Trabajo en Equipo, Gestión del Tiempo",,Proyecto para Ingeniería Ambiental,Buscamos talento para colaborar en un proyecto relacionado con Ingeniería Ambiental. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Baja
dc0b21a3-bd12-4d79-891d-6621c3577882,59a91332-e18f-4e68-8061-fe83f4c7610f,Comunicación y Marketing,5,18.66,False,,18,"{""mon"": ""10100111100011111010100110011100"", ""tue"": ""01011100101001111111111010111110"", ""wed"": ""11111010110101000110100011111111"", ""thu"": ""01111110101001111110001010110111"", ""fri"": ""01011011110111100111101111100010"", ""sat"": ""11011111111111011010111111111110"", ""sun"": ""10111001111000110110111001110111""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Leyes y Política,20,"{""mon"": ""01000000000000000000000101000000"", ""tue"": ""01000000000000000000000001000000"", ""wed"": ""00001000000100010100000000000010"", ""thu"": ""00000000000000000000000000000000"", ""fri"": ""00010100000000000000000010100001"", ""sat"": ""00100101000100010001000010011000"", ""sun"": ""00100000100000010010000010000000""}","[{""skill_id"": ""5b666228-e10a-4102-ab62-fb958ba193aa"", ""name"": ""Inteligencia Emocional"", ""min_proficiency"": 1, ""mandatory"": false}, {""skill_id"": ""25c7cad9-af2a-4cce-91fd-2d6bb338cad6"", ""name"": ""Planes de Negocio"", ""min_proficiency"": 1, ""mandatory"": true}, {""skill_id"": ""60890445-286e-4631-b191-dbc504e4275c"", ""name"": ""SAP/ERP"", ""min_proficiency"": 1, ""mandatory"": false}]",1,0.0,0,"Metodologías Ágiles (Scrum), Negociación Comercial, Planificación de Medios, SEO/SEM, Gestión de Suministros, Relaciones Públicas, Cultura Organizacional, Google Analytics, Social Media Ads, Jira","Pensamiento Crítico, Autogestión, Trabajo en Equipo","Inteligencia Emocional, Planes de Negocio, SAP/ERP",,Proyecto para Administración y Negocios del Deporte,Buscamos talento para colaborar en un proyecto relacionado con Administración y Negocios del Deporte. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Media
9c603432-c7b3-4b4c-8a7b-d91bb2dd9183,59a91332-e18f-4e68-8061-fe83f4c7610f,Psicología,1,15.18,True,https://supabase.co/storage/v1/object/public/evidence/doc_ebe1c001-7b05-4471-9e36-367c9cb17df8.pdf,31,"{""mon"": ""01001101111101011111110111011111"", ""tue"": ""11111001111101101110101111111111"", ""wed"": ""11111101011110101000111111000111"", ""thu"": ""11110111111111010011111010010011"", ""fri"": ""00111000110111011011111110101101"", ""sat"": ""11001110111010101110111101111010"", ""sun"": ""00101100000111000011111011110010""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Gestión y Negocios,10,"{""mon"": ""01001000000000000100000100010001"", ""tue"": ""10000000000100000010000000000000"", ""wed"": ""10101100010001100000000000010100"", ""thu"": ""10101000000000000000000000001001"", ""fri"": ""10100000000010000000001001100000"", ""sat"": ""10001000000101010000100000110000"", ""sun"": ""00000000001000110000001000010000""}","[{""skill_id"": ""fd30e1d4-61e9-4f23-a6eb-7b9ec6d11bc3"", ""name"": ""Metodolog\u00edas \u00c1giles (Scrum)"", ""min_proficiency"": 2, ""mandatory"": false}, {""skill_id"": ""94626da4-9f1e-4f40-96e5-f6f19c5cf73a"", ""name"": ""Adaptabilidad"", ""min_proficiency"": 1, ""mandatory"": false}]",1,0.75,1,"Jira, Selección de Talento, SAP/ERP, Metodologías Ágiles (Scrum), Análisis de KPIs, Planes de Negocio","Trabajo en Equipo, Comunicación Efectiva, Liderazgo, Inteligencia Emocional, Pensamiento Crítico, Orientación a Resultados, Adaptabilidad","Metodologías Ágiles (Scrum), Adaptabilidad",,Proyecto para Ingeniería de Gestión Empresarial,Buscamos talento para colaborar en un proyecto relacionado con Ingeniería de Gestión Empresarial. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Baja
994a1629-0ce8-4978-ae55-167e74c14e53,59a91332-e18f-4e68-8061-fe83f4c7610f,Artes Escénicas,7,14.22,True,https://supabase.co/storage/v1/object/public/evidence/doc_d16137b9-4669-4837-809c-a2eeda15928c.pdf,28,"{""mon"": ""00010011110110110100110010111111"", ""tue"": ""01110011010101111000101100100111"", ""wed"": ""11110011110111110101111111110101"", ""thu"": ""11011111100110111111111101111110"", ""fri"": ""11111100101111101111110110101111"", ""sat"": ""11111101001110110101011111111101"", ""sun"": ""11111111101000111011101111111110""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Humanidades y Educación,20,"{""mon"": ""00000010000000001010000000000010"", ""tue"": ""00000000000000000010001000000010"", ""wed"": ""00100000000100000000100100001010"", ""thu"": ""00000000001001000001000000000001"", ""fri"": ""10000011000000101100111110000000"", ""sat"": ""01000000000000000000111110000000"", ""sun"": ""00010000000000000000001001000111""}","[{""skill_id"": ""7f3c9955-a788-4cb8-8a2e-6afdaae8a779"", ""name"": ""Pensamiento Cr\u00edtico"", ""min_proficiency"": 1, ""mandatory"": false}, {""skill_id"": ""965935d6-3e5a-411d-8f00-7c2b9880816f"", ""name"": ""Valoraci\u00f3n de Empresas"", ""min_proficiency"": 3, ""mandatory"": false}]",1,0.0,0,"SAP/ERP, Metodologías Ágiles (Scrum), Cultura Organizacional, Selección de Talento, Planes de Negocio","Comunicación Efectiva, Inteligencia Emocional, Autogestión","Pensamiento Crítico, Valoración de Empresas",,Proyecto para Economía y Ciencia de Datos,Buscamos talento para colaborar en un proyecto relacionado con Economía y Ciencia de Datos. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Media
c92cd3a4-0a46-4c55-afd1-02241d9da202,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Gestión Empresarial,2,18.79,False,,11,"{""mon"": ""10110100111111111111111110111100"", ""tue"": ""10111011001110100100011010010001"", ""wed"": ""00111111101110111101001010101111"", ""thu"": ""01110011100111111001111111101101"", ""fri"": ""11011011111010111100111101011010"", ""sat"": ""01111101101111111111111111111110"", ""sun"": ""11100011111011100110111111111111""}",59a91332-e18f-4e68-8061-fe83f4c7610f,Arquitectura y Espacios,10,"{""mon"": ""00100000000000000100000001000000"", ""tue"": ""00010000000000101000010001110000"", ""wed"": ""10010001000000100000000010101001"", ""thu"": ""01000010100000000000110000000000"", ""fri"": ""00000001000000000000000010010101"", ""sat"": ""01000000010001000001010001000010"", ""sun"": ""11001000001000000100100110000001""}","[{""skill_id"": ""8bb65e1a-88f6-4882-9872-297e0dd4d5e8"", ""name"": ""Cultura Organizacional"", ""min_proficiency"": 2, ""mandatory"": false}, {""skill_id"": ""b7833fc7-95d0-4e6e-b20e-4fa14a6b2133"", ""name"": ""Autogesti\u00f3n"", ""min_proficiency"": 3, ""mandatory"": false}, {""skill_id"": ""52f5bf51-be7c-4b40-920f-d20c3c07b1b6"", ""name"": ""Trabajo en Equipo"", ""min_proficiency"": 3, ""mandatory"": true}, {""skill_id"": ""25c7cad9-af2a-4cce-91fd-2d6bb338cad6"", ""name"": ""Planes de Negocio"", ""min_proficiency"": 3, ""mandatory"": false}]",0,0.25,0,"Selección de Talento, SAP/ERP","Resolución de Problemas, Liderazgo, Autogestión, Orientación a Resultados, Gestión del Tiempo, Pensamiento Crítico","Cultura Organizacional, Autogestión, Trabajo en Equipo, Planes de Negocio",,Proyecto para Economía Gerencial,Buscamos talento para colaborar en un proyecto relacionado con Economía Gerencial. El objetivo principal será desarrollar soluciones innovadoras aplicando habilidades clave en el área.,Baja
